0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,cluster
-0.01651703,0.30659798,0.10361962,-0.28429267,-0.99630934,0.36942416,0.085356474,-0.06308794,0.3517414,-0.086710684,-0.3270268,0.4550787,-0.34978566,0.46299067,-0.3924256,-0.30876115,0.6237977,0.5215639,-0.26597488,-0.16959319,0.34989056,-0.6023917,0.13902164,-0.09830044,-0.06278552,0.03665128,0.6532688,-0.96517044,0.031066801,0.054262068,-0.66755503,-0.50177336,0
0.20790507,0.13806094,-0.43047136,-0.36959106,-0.60733116,0.5615184,0.633474,-0.5694581,-0.6389518,0.6413377,-1.4961406,0.3358471,-0.4365126,2.3027534,-1.0162578,-0.5623044,0.39767396,1.4417921,-0.020302469,0.2906324,-0.29232848,-1.1932003,-1.0825305,-0.42698503,-0.93125266,-0.8904034,-0.04754457,-1.0148929,-0.5611212,1.1297327,-0.65940464,-1.1980834,1
0.18816175,-0.38105604,-0.4602255,-0.5296767,0.41946214,1.3718947,-0.19033733,0.74439853,0.22967963,-0.46518838,-0.8129691,0.7539649,-0.797186,0.8289867,-0.49713326,-0.61307716,0.63648254,0.6366927,-0.42586252,0.4955064,-1.1127049,-0.41891512,0.09179213,-0.4012362,-0.8074488,0.37313446,1.3387691,-1.6311883,-0.5459001,0.11168482,-0.5964672,-0.53693,1
-0.6769472,0.12260485,-0.57888615,-0.4552948,-1.2980098,0.7232173,0.32928854,-0.2528474,0.40003312,0.45933837,-1.1431758,0.98689735,-0.60525006,1.6823435,-0.98875886,-1.2626725,0.5873483,1.0364473,-0.27720797,0.13608347,-0.5356088,-1.5968325,-0.46454272,-0.25999272,-0.5546395,-0.4701551,2.1465547,-2.1484094,0.17006567,0.62117004,-0.6944216,-0.52523416,1
0.43635947,0.20505436,1.3923957,-0.05471742,-1.1141115,-0.84117645,0.3384497,0.44015223,0.34214917,-0.29511216,1.0504667,0.10953511,-0.054296177,-0.9767116,0.49513265,0.93954444,-0.41837478,0.5141656,-0.35004178,-0.0065970444,0.7004908,0.5312128,0.44378895,-0.10876905,0.34346163,-0.055429205,-0.046019018,0.5651925,0.4243184,-0.19214433,0.1309739,0.57533205,0
-0.13299526,0.47128302,-0.9220077,-0.5522944,-0.614519,0.9972811,-0.22918318,-0.7953047,0.3221134,0.24842884,-1.761783,0.9781334,-0.013113369,1.7507975,-0.42264336,-0.7043911,0.91997445,0.70214224,-0.9394611,0.26363012,-1.1170969,-1.3785386,-0.13007863,-0.5722474,-0.38707918,-0.24884744,0.8092261,-1.3056147,-0.8403648,0.2306175,-1.1342908,-0.41533217,1
0.10131492,0.4787044,0.21304436,0.4532633,0.47613862,-0.34278327,-0.7732291,0.48410875,1.1047474,0.5005508,1.0481731,-0.5613446,0.21378948,0.08265132,-0.4616221,0.73364615,-0.079678565,-0.12279279,-0.6259476,-1.8096792,1.0583594,0.2303863,1.6634529,-0.2677246,1.1913254,0.2833272,0.15775909,0.406239,0.03957743,-1.5816537,0.3935478,-0.6214954,0
0.15534604,0.042131655,0.19035733,0.91673243,-0.45929086,0.3450246,-0.02698327,-0.17962676,-0.2664511,-0.08454353,-0.3553068,-0.07197955,-0.7592397,0.5471765,-0.71356624,-0.5137112,-0.30131269,0.6081089,0.81761324,-0.03061961,0.56614774,-0.26764128,0.037678335,-0.08039855,-0.159092,0.09550766,0.5911307,0.0051870593,-0.35688883,0.09039704,0.17004256,-1.3457949,0
0.32029226,-0.11658623,-1.2844031,0.2896194,0.21942672,1.2936066,-0.7618544,-0.17777123,0.2963022,0.051673096,-0.59242773,0.92890203,-0.681904,1.3282056,-0.2085177,-1.0163898,0.69894713,0.63770825,0.1796892,0.34459615,-1.1187195,-0.29432544,0.13629046,-0.77318686,0.0069688833,-0.02151852,1.1480137,-1.6892409,-1.0934237,-0.44804642,-0.13516636,-0.2664001,1
0.105017655,-0.25622094,-1.5330474,-1.1440669,-0.16804026,0.83374417,-0.08964143,-0.1134529,0.46414006,0.21627283,-1.6464068,0.5670526,0.08642558,2.9253058,-0.28243876,-0.9046829,0.7735164,0.40856534,-0.5217789,0.5574227,-1.459259,-0.5420434,-0.60380965,0.23369354,-1.4862098,-1.5854061,1.9030792,-1.9283587,0.23085852,0.18834579,-0.57073814,-0.66700166,1
0.6696307,-0.95406824,1.8574991,-0.4610675,-0.64544845,0.07524629,-0.2312409,0.2192782,0.09482197,-1.1632595,0.06820806,0.088411376,-0.6389589,-0.9806047,-0.13275579,0.6675359,0.013578202,-0.6663507,-0.6469187,0.12366613,0.9565185,0.8231807,0.75175285,0.05319559,0.15963519,0.84085757,0.18549646,0.3773535,1.0496215,0.16776326,-1.0731771,1.3112404,0
0.12896028,0.42095318,0.36479157,0.10512402,-0.008318358,-0.2741831,-0.79139876,-0.2231795,-0.14952433,0.38077372,0.85140455,0.13140978,0.16104789,-0.65614635,0.015422019,0.6383255,-0.030064307,-0.33122683,-0.66396344,-0.9449341,0.9813636,-0.02219713,1.402083,-0.31424186,0.75371844,0.50114316,0.07613861,-0.31510696,-0.15151998,-1.1810974,-0.29868674,-0.8060933,0
0.4040537,0.80188763,1.3958682,1.113205,-0.9238892,0.5998015,-0.64675605,-0.72426,0.91134995,-0.5843254,1.0901328,0.36089176,-0.10437168,-0.4213242,0.070576064,0.86482775,-0.42670146,-0.54388773,-1.1145036,-0.7406289,0.8632933,0.85690653,0.2787567,-0.16710624,0.557263,0.8235554,-0.5306418,0.85415584,1.3384614,-1.2173574,-0.37196457,0.3380746,0
0.542034,1.4224961,-0.16462132,-0.36233142,0.05181179,-1.3239162,0.55443424,0.6834457,0.31377444,-0.12877536,-2.38509,1.1458056,0.33432248,0.8495816,-0.662255,0.07131634,0.544446,1.1524435,-0.122556455,0.44228485,-0.6241165,-2.0330248,-1.1108695,-0.084340826,-0.71547395,-1.0476906,1.098377,-1.3332113,0.21118258,0.3097654,-0.7602922,-2.091891,1
-0.077465,0.4976967,0.06757888,-0.36968234,-0.7138338,-0.14069188,-0.50565183,-1.347035,0.20513478,0.22291155,-1.4251736,0.92903084,0.29617664,0.52163833,-0.26557285,-1.233886,0.7454914,1.0662602,-0.26026624,0.04386903,-0.40188944,-0.79004544,0.23518935,-0.3043527,-1.0882066,-0.067099124,1.2183104,-1.4675454,-0.58963746,0.4276231,-0.9454648,-0.94854605,1
-0.5693502,0.17670494,-0.58416593,-1.1063441,-1.5405145,0.09264942,0.23915708,-0.38703713,0.59361553,0.85015947,-1.9257538,0.73834586,0.10268438,2.1821647,-1.0718275,-2.0581362,1.0821013,1.0471498,-0.2867092,-0.24907565,-1.0727454,-1.281865,-0.39414042,0.13638322,-1.0631981,-1.3398412,1.97383,-1.3468344,0.32036218,0.42644316,-1.1737859,-0.82744265,1
-0.044043597,-1.508565,-0.37824744,0.20549381,0.052536067,0.5646841,1.242288,0.6522662,-1.0591812,-0.13520972,0.866759,-0.27286837,0.46507978,-0.5371986,0.23142049,-0.44505027,0.20434992,-0.5682135,0.48250604,-0.039380923,-0.15961826,-0.86282295,0.35844427,-0.14705235,-0.5849793,-0.7106453,-0.42385462,-0.25763634,0.46303675,0.26499197,-0.5410071,0.6935221,0
-0.55877465,1.1636844,-0.8494797,-1.694452,-1.0095956,0.24424726,0.7183537,-0.8361134,0.7532318,0.66022676,-2.5356665,1.8736874,-0.29388118,1.5398319,-0.49464065,-1.6912483,1.3865527,0.27246645,-0.16452278,-0.39533144,-0.9505475,-0.89603746,-0.47516325,-0.042422283,-1.4628935,-2.0442774,2.5492156,-1.517611,-0.20276132,0.6736945,-1.4147352,-1.2793156,1
-1.7810414,0.74812603,-0.8925007,-0.42983168,-1.4940531,0.0622231,0.78616124,-0.42433813,0.94898003,0.211162,-2.4501894,0.7854068,-0.39398682,1.04745,-0.13860959,-1.0536225,0.38175872,1.1843345,-0.07516033,0.98183817,-2.3848066,-2.879594,-0.0970542,-0.11919281,-0.1876392,-1.4255008,1.4411951,0.511301,0.8223292,0.4323531,-1.8716724,-1.428938,1
-0.5352384,-0.6320548,0.059424117,0.1329457,0.44666937,-0.19853304,0.6395035,-0.18623254,-0.0564577,0.22369403,1.1441301,-1.007591,-0.6215443,-0.21269439,-0.30867752,1.2655303,-0.49422863,-0.041600943,-0.42613393,-1.488687,-0.18765117,-0.20678462,0.5017313,1.1260788,1.8806868,0.6417366,-0.48298836,-0.6373735,-1.067612,-1.5689613,-0.31022635,-1.2241131,0
0.46606067,-0.21171854,1.4645544,-0.4464487,-0.7913551,-0.09033818,0.28159133,-0.37757063,-0.31658596,-0.16613767,0.9596656,-0.4332107,-0.6369309,-0.7623344,0.035369165,0.38105813,-0.11069492,-0.76008916,-0.43675008,-0.29589146,0.0026946072,-0.22531992,1.3331366,-0.2123897,0.60383934,0.38357225,0.041997254,-1.0795074,0.21098852,-0.61614025,-0.4769843,0.70839876,0
-0.70694005,0.5067056,1.0325152,0.5910374,-0.1533075,-0.25969326,-0.14679454,1.964148,-0.38751015,1.1499369,0.37934378,-0.15167114,-1.035868,-0.060203597,0.58329374,0.15785715,0.40259615,0.23735085,0.14839926,-0.9607611,-0.88965034,1.0940696,1.817852,-0.24156906,2.0167525,-0.23263346,-1.0139859,1.027739,-1.1209954,-0.22877117,1.5092877,-0.40824676,0
-0.2416886,0.37536746,0.5672354,-0.40893638,-0.62221014,-0.34481278,-0.29679966,0.95475066,-0.24627917,-1.105647,-0.7609844,-0.36438987,0.3812543,-0.03952919,-0.21319889,-0.16394086,-0.1288827,1.6882828,-0.6773536,-0.17470227,0.25180885,0.586205,-0.742765,0.2804282,-0.22745065,0.10724904,1.2869828,0.3163012,-0.81301445,0.95756394,-0.7600573,-0.6380719,0
